X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ko:K15230,555.817642984509,12.969269481575,1.19233351472609,10.8772162498127,1.48014285304167e-27,1.37760542061357e-25
ko:K15231,374.935856398078,12.4040060249949,1.19963473531809,10.3398189964097,4.654157562185181e-25,3.64499998345771e-23
ko:K15233,370.545095323006,12.3851249203566,1.1943446489914,10.3698081879595,3.4020695319997703e-25,2.69729512771636e-23
ko:K15253,67.8916577436569,-1.1859865143359,0.441523434728247,-2.68612359175422,0.0072286344722448,0.0261092747923263
ko:K15257,1305.18528156628,-0.592512022180532,0.156291559239807,-3.7910685968102,0.0001500005145253,0.0009244753400016
ko:K15311,72.9073219746621,10.0490520776133,1.24024008117428,8.10250549885364,5.38387084171167e-16,1.63863595002239e-14
ko:K15327,114.7926978075,0.624818176032973,0.236715585599186,2.63953120979087,0.0083020778606307,0.029294474736797
ko:K15331,223.058312483494,0.788577134898533,0.185814109178645,4.24390342791666,2.19664914820699e-05,0.0001659633038798
ko:K15355,344.491750267856,-0.924098752651809,0.222563809168237,-4.15206208100653,3.29492845156098e-05,0.0002356350836962
ko:K15368,10.6930683843114,7.2876013200616,1.37449549708619,5.30201905754559,1.14528881973081e-07,1.37993335840737e-06
ko:K15378,748.858430537435,-1.14667101358513,0.179431873631429,-6.39056478862005,1.65274158770472e-10,2.8765401778213502e-09
ko:K15396,622.418749282345,-0.458784163793419,0.188091203355463,-2.43915800212299,0.0147215299607686,0.0468259858385616
ko:K15468,436.358670955603,-0.50857293010411,0.196902983326077,-2.58286046007693,0.009798494481786,0.0335426074424466
ko:K15502,416.819163856929,2.60636472196611,0.181272082994437,14.3781914948597,7.09237371517143e-47,1.57059393099417e-44
ko:K15503,1115.04341059538,3.56256958920097,0.555544235498744,6.41275592753229,1.42912226071209e-10,2.5213799885420404e-09
ko:K15511,587.899307547028,1.34439744582265,0.495933942672824,2.71083975131255,0.0067113052796338,0.0245025596963097
ko:K15512,6001.37995444696,0.627878245960248,0.199536541670552,3.14668301206161,0.0016513388147419,0.0073696302072777
ko:K15524,829.995701700966,-0.685655486485332,0.156017036863359,-4.3947475241812,1.10901572561142e-05,9.049681054481e-05
ko:K15526,1725.17120049411,-0.902323070789773,0.261385382271954,-3.45207931272517,0.0005562841839693,0.0028856680367136
ko:K15532,4719.90412714467,-1.48643623736087,0.416772932105151,-3.56653737048797,0.0003617292462359,0.0019821034294599
ko:K15538,834.144438524402,-0.466286956862659,0.182237275650503,-2.55868046313923,0.010507026955856,0.0356262550741853
ko:K15556,48.8972195048528,-0.955475292198515,0.388907656022951,-2.45681790368799,0.0140173718538423,0.0450258919045217
ko:K15598,2450.52488272239,1.53445294313986,0.609752092638776,2.51651935543071,0.0118520390080344,0.0391963380996153
ko:K15629,94.8840285059069,10.423426083004,1.22661639092063,8.49770650397127,1.9337328943561602e-17,6.676576692234001e-16
ko:K15635,6979.33682015094,0.501305784702827,0.196328489562549,2.55340315519065,0.010667594002538,0.0360659564384417
ko:K15640,416.421851824617,0.71389819217719,0.219607017752298,3.25079862876887,0.0011508133751493,0.0054262287042649
ko:K15652,57.5882241210796,1.2595432684466,0.431352244025461,2.91998774990087,0.0035004514525245,0.0140148997681501
ko:K15724,1223.41858573154,0.686761210079448,0.122174115276296,5.62116785970858,1.8967086684712e-08,2.52187641178511e-07
ko:K15727,3700.99747463057,-0.688014780780475,0.140705024792402,-4.88976695605278,1.00955425655988e-06,1.03733718970041e-05
ko:K15738,10487.6091995322,0.610665608373677,0.160797902521824,3.79772123141218,0.0001460324231916,0.0009026181152421
ko:K15755,2595.11918585012,0.814621055894801,0.11203945180684,7.27084114352178,3.5725587286225e-13,8.02201823608871e-12
ko:K15765,3491.54917747846,-0.456637780196921,0.0630852234709903,-7.23842692586966,4.53918664119803e-13,1.01217557672825e-11
ko:K15771,785.053477678112,0.579993282031082,0.176158197704086,3.29245694830146,0.000993161020531,0.0047775880702997
ko:K15781,732.115759638015,0.796563094353715,0.22368454457777,3.56110028011689,0.0003693039942732,0.0020201620538526
ko:K15790,116.408703274944,1.02553999601827,0.315777539994645,3.24766605007963,0.0011635574820914,0.0054742609157444
ko:K15792,7283.19628314534,-0.74091653149068,0.145717602902349,-5.0846055434167,3.68390872548055e-07,4.0649590781849e-06
ko:K15849,1109.99383563542,-1.64810620025287,0.479920600360248,-3.4341226424032,0.0005944751592096,0.0030639803149633
ko:K15852,240.443066217464,-0.958136523848459,0.359129289581165,-2.66794313815475,0.0076317173001441,0.0273803846377239
ko:K15856,3503.97569515051,0.652241496906076,0.155726219697421,4.18838586188886,2.80945546566586e-05,0.0002051365058338
ko:K15866,27609.5281599313,-0.65525237913891,0.118388562987858,-5.53476081305346,3.11653358568164e-08,4.02703796524094e-07
ko:K15886,312.379366993983,-0.815117057577224,0.172110850169142,-4.7360004135484,2.17977142275357e-06,2.09872444931386e-05
ko:K15891,418.551335201583,-0.563457015431213,0.166715309355064,-3.37975569016989,0.0007255028878004,0.0036286445058058
ko:K15894,3134.39981301387,-0.54292617278302,0.141559401260926,-3.83532402614705,0.0001253988634218,0.0007957623526631
ko:K15904,136.223105631868,10.9453977150937,1.20335507405425,9.09573404482962,9.39496665533592e-20,4.46922043411609e-18
ko:K15912,2407.7479535698,-0.60500607069851,0.139103204593363,-4.34933237136491,1.36552617050446e-05,0.0001086667790208
ko:K15913,29.3462950676306,2.44784838145157,0.607556876096072,4.02900284361937,5.60139408650139e-05,0.0003826824768458
ko:K15919,361.143824532866,12.3443358126033,1.21845174989248,10.1311650737853,4.01832666767824e-24,2.77480579137953e-22
ko:K15921,2035.77954788692,-1.42689151945576,0.217251341254873,-6.56792962111923,5.10196430995315e-11,9.497047767686702e-10
ko:K15986,890.277357782787,-1.46766995592788,0.406887027195777,-3.60706991825939,0.0003096742360923,0.0017323414147955
ko:K15987,11123.8705570406,0.728574339722273,0.174816679074048,4.16764775295649,3.07759024624647e-05,0.0002224059162821
ko:K16011,16488.0898518329,-0.70662749840924,0.122094238075495,-5.7875581153331,7.14169829513645e-09,1.02146963143355e-07
ko:K16017,97.4141362271554,-1.45587166781167,0.263982819800511,-5.51502430692974,3.48731757473721e-08,4.47017035228789e-07
ko:K16020,133.258701704092,10.9079988523322,1.19956921937435,9.0932633783496,9.6110071414879e-20,4.53837410754671e-18
ko:K16022,522.146477696652,-0.588166496860503,0.203142967287662,-2.89533280287092,0.003787567404614,0.0149961515859625
ko:K16033,796.660251301267,3.41013299199441,0.25948950088139,13.1416992996304,1.8991339719139e-39,3.12724060708488e-37
ko:K16055,7180.1800014487,0.8900572046822,0.30061051712024,2.96083188708327,0.0030680935869042,0.0125418822502221
ko:K16089,4825.81935851824,0.749100550265327,0.221256991141921,3.38565821761913,0.0007100776257556,0.0035570347212192
ko:K16092,20838.7368384728,-1.09731499282465,0.221648268133975,-4.95070411360663,7.39454562412338e-07,7.72567526150044e-06
ko:K16131,166.521400040087,-0.655639744647184,0.221809154292977,-2.95587324489404,0.0031178519656722,0.0127371789589993
ko:K16137,2975.28305514048,-1.34215958723021,0.149643740707499,-8.96903258956655,2.99130052307578e-19,1.30681169790426e-17
ko:K16157,1534.30270512146,1.8801765943346,0.665017704243558,2.82725795469348,0.0046948492361943,0.0180649022138046
ko:K16193,51.9885948368214,9.53178544266511,1.23202800703431,7.73666295590933,1.02060147116823e-14,2.70838952390182e-13
ko:K16233,49.1048908479644,-1.21710591144767,0.477879993964365,-2.54688609445831,0.0108688903781991,0.0366404273012044
ko:K16242,2237.60304018118,2.22936240455166,0.522466200731861,4.26699832721966,1.98120644469264e-05,0.0001512878452772
ko:K16257,844.464660987877,-0.752073746328017,0.16512783246053,-4.5544941462717,5.25117869604609e-06,4.69680634902618e-05
ko:K16258,1808.34273202732,0.864665163420888,0.30001244764545,2.88209762697159,0.0039503731691721,0.015583105953577
ko:K16260,238.496757858394,0.87099644305796,0.26376108051979,3.30221745126877,0.0009592367486695,0.0046317431578616
ko:K16301,336.96758598489,1.58563348628257,0.587881080443111,2.69720108204096,0.0069925031888712,0.0253992395242824
ko:K16303,5652.2284102341,4.20118746903755,1.55568094048956,2.7005456965459,0.0069225826448921,0.0251737405127393
